유형,표제어,뜻풀이,예문,비고
외래어,콘텐츠,‘콘텐츠’가 표준 표기(‘컨텐츠’ X),콘텐츠를 기획한다.,표기 근거 요약
외래어,가톨릭,‘가톨릭’이 표준(‘카톨릭’ X),가톨릭 신자,표기 근거 요약
외래어,소시지,‘소시지’가 표준(‘소세지’ X),소시지를 구웠다.,표기 근거 요약
로마자 표기법,종로,Jongno로 표기,종로구(Jongno-gu),지명 표기
로마자 표기법,대관령,Daegwallyeong으로 표기,대관령 옛길,지명 표기
로마자 표기법,속리산,Songnisan으로 표기,속리산 국립공원,지명 표기
표준어 규정,아지랑이,‘아지랑이’가 표준어,아지랑이가 피어오르다.,단일 표준어
표준어 규정,넝쿨/덩굴,둘 다 표준어(복수 표준어),덩굴장미,복수 표준어
표준어 규정,사글세,월세의 순우리말 표준어,사글세를 내다.,단일 표준어
표준 발음법,밟다,[밥:따]로 발음,돌길을 밟다.,받침 동화
표준 발음법,값지다,[갑찌다]로 발음,값진 시간.,자음군 단순화
표준 발음법,국물,[궁물]로 발음,국물을 데우다.,비음화
띄어쓰기,중간 보고,‘중간 보고’(O) ‘중간보고’(X),중간 보고 회의,어절 구분
띄어쓰기,먹을 만큼만,‘먹을 만큼만’(O),먹을 만큼만 담아라.,보조 용언
띄어쓰기,집 밖에,보조사 ‘밖에’는 붙여 씀(집밖에 X),집 밖에 나가지 않았다.,조사
맞춤법,겸연쩍다,‘겸연쩍다’(O),겸연쩍게 웃다.,어형 구별
맞춤법,오랜만,‘오랜만’(O),오랜만에 만나다.,어형 구별
맞춤법,되레,‘되레’(O) ‘되려’(X),되레 고맙다.,어형 구별
순화어,네티즌,‘누리꾼’으로 순화,누리꾼 반응,쉬운말 대체
순화어,발레 파킹,‘대리 주차’로 순화,대리 주차 안내,쉬운말 대체
순화어,레시피,‘조리법’으로 순화,간단 조리법,쉬운말 대체
관용구,귀에 못이 박히다,같은 말을 여러 번 듣다,귀에 못이 박히도록 들었다.,동의: 귀에 딱지가 앉다
관용구,된서리를 맞다,모진 재앙이나 억압을 당하다,비판 여론에 된서리를 맞다.,의미 풀이
관용구,토를 달다,말끝에 덧붙여 말하다,토 달지 마.,의미 풀이
사자성어,교각살우,작은 잘못을 고치려다 큰일을 그르침,교각살우가 되지 않게.,동의 속담 포함
사자성어,유비무환,준비가 되어 있으면 걱정이 없음,유비무환의 자세.,의미 풀이
사자성어,명약관화,의심할 여지 없이 분명함,명약관화한 사실.,의미 풀이
속담,우물에 가 숭늉 찾는다,순서를 무시하고 성급히 굼,우물에 가 숭늉 찾지 마.,의미 풀이
속담,빈대 미워 집에 불 놓는다,과도한 대응으로 오히려 큰 피해,그건 빈대 미워 집에 불 놓는 격.,의미 풀이
속담,비 온 뒤에 땅이 굳어진다,시련 뒤에 더 강해짐,비 온 뒤에 땅이 굳어진다.,의미 풀이
고유어,시나브로,모르는 사이에 조금씩,시나브로 나아진다.,어휘 뜻
고유어,옹골지다,실속 있게 속이 꽉 차 있다,옹골진 계획.,어휘 뜻
고유어,곰비임비,거듭 쌓이거나 계속 일어남,소식이 곰비임비 들려오다.,어휘 뜻
